"AGENCIAS","Mora.Media","CAR.Media","Mora.8.30.Media","Judicial.Media","Cartera.Pesada.Promedio","Tasa.de.rentabilidad.Bruta","Ingreso.Promedio","Margen.Financiero.Mes.M","Intereses.de.Credito.Jun.17","Utilidad.Mes.M","Clientes","Cuentas","Desembolsos","Saldo","Meses.en.Funcion"
"Agencia_77",0.012210280757915,0.0140992451300927,0.0167982214520286,0.00372642768420287,0.0359652099178704,2.07360942008845,109085.778235294,549017.2015,988988.04,-53393.2354,1580,1656,829980,8889458.75,43.5975359342916
"Agencia_78",0.0170074597418063,0.0221350725406997,0.035093554936702,0.0109170903404351,0.0233701258261401,1.91044830499704,212945.735347059,929087.0512,1378417.51,156510.3446,1079,1249,1563490,12982742.68,30.3244353182751
"Agencia_79",0.0217812241234964,0.0233562702877996,0.0129122715898707,0.00858017216011843,0.0266195599355984,2.25234034433698,114327.313552941,647667.1794,986631.45,30556.8787,1409,1511,1085400,8235448.69,43.3018480492813
"Agencia_80",0.018415126379267,0.0189998268377029,0.0240550838219894,0.00755502139765069,0.0404744972585566,1.79509279293185,244389.9645,1193492.4231,1620711.3,152069.5436,1869,2222,1122150,15171537.18,5.25667351129363
"Agencia_81",0.0197973970675477,0.0218389000906551,0.0290680644690073,0.00971964946364207,0.0460070553584467,1.93989323855081,365522.463582353,1546304.1477,2396019.52,300370.7079,2665,3136,2256950,21449144.1,18.9897330595483
"Agencia_82",0.0232936809339715,0.0246245850800883,0.0220628113755206,0.00851379667051588,0.0461614620279638,0.786496222444629,98817.3364705882,461690.0444,690767.73,-51192.7651,748,799,651345,6089002.55,80.7556468172485
"Agencia_83",0,0,0,0,0.000537701985600083,1.77987856064144,3755.21625,26963.0737,105289.65,-474957.0418,478,488,635730,1859766.24,19.3839835728953
"Agencia_84",0.016927488648291,0.0191819572528232,0.0212036942631526,0.00734622939294951,0.0405899727454499,2.02566255755083,253640.217058824,1031924.466,2075848.3,-114364.7351,2711,3228,2415292.84,19427702.87,19.0554414784394
"Agencia_85",0.0171142675041589,0.026709126038734,0.0304367005293905,0.00691448878893537,0.0759613567878741,1.26978855952825,77547.56375,562820.2985,1146773.29,-49202.2583,1214,1372,1395100,12318844.47,9.5605749486653
"Agencia_86",0.00374066805677348,0.0113589872451738,0.0117254377207615,0.00096576857211711,0.0210058902075406,2.25037092921292,133927.401541176,780468.0054,1331592.87,49815.4059,1235,1382,1373067.56,11431031.85,114.989733059548
"Agencia_87",0.0165978914647841,0.020399762945612,0.0266828971585786,0.00756362683375202,0.0253052193200068,1.86049228016156,337137.460482353,1399513.2258,2041791.68,282335.2856,1877,2037,1776700,19571774.65,39.0965092402464
"Agencia_88",0.0157114936142379,0.0257204053574579,0.031305316771576,0.00902896960952456,0.033594755312077,2.02829488802582,168293.565682353,846379.1399,1524928.9,85724.0022,1580,1733,1393340,14056813.5,127.770020533881
"Agencia_89",0.00285081059838585,0.00663962953452242,0.00555296755778944,0.00375439747574567,0.0147504574655656,2.1939435189542,102521.526470588,703467.9946,1040719.93,-73517.3517,1417,1558,1121903.28,8363170.45,117.05954825462
"Agencia_90",0.0123572772262107,0.0130436260470331,0.0313200247388638,0.00442881500349168,0.0293610988809796,1.78068009998441,75564.316875,447271.9316,680260.97,-92185.6373,951,1080,806000,6736209.05,70.340862422998
"Agencia_91",0.0209897647853825,0.0243853842826268,0.0229169163124006,0.0134827522680989,0.0398849295585722,2.14708465913122,112758.807017647,604768.7024,869507.56,48344.8324,1019,1134,829501,7214241.9,6.99794661190965
"Agencia_92",0.00426812917975969,0.0102757633635283,0.00751703939070317,0.00209436842977348,0.0252280808047531,1.95315278070251,122628.221176471,666801.8259,1321867.43,-84194.34,1507,1660,1721350,12312787.58,132.698151950719
"Agencia_93",0.018033357357817,0.0205260569782604,0.0249391548886888,0.0115407253031912,0.0354459285993662,2.1297391353259,191809.187582353,978058.6436,1491331.14,79252.6186,1674,1758,1417880,12722439.44,20.9609856262834
"Agencia_94",0.0170699920401395,0.0192315921761648,0.0224053490835595,0.0105102045597664,0.0195608855298178,1.6997748306696,672809.058841177,3421755.106,4143448.68,883910.2465,4571,5352,4008834,41866748.76,9.65913757700205
"Agencia_95",0.019210472365198,0.0235103698074366,0.0210884297460584,0.0093757121600233,0.0268099749140774,2.04918076428051,204114.833917647,1002722.9273,1516294.1,96376.5796,1964,2192,1627950,13595904.18,72.9691991786448
"Agencia_96",0.0115683053349706,0.0124763929750406,0.0255925119559666,0.00208730947562871,0.0636823803687472,1.96760050865943,59753.3847058824,249982.9852,455029.33,-130698.582,890,949,414300,4214368.22,123.926078028747
"Agencia_97",0.0194952384645788,0.0196246219425626,0.0234442079541038,0.00753202206474624,0.0437938965446521,1.77799119646094,195804.544311765,816364.3808,1457076.65,22324.5236,2037,2263,1456620,12820962.15,18.0041067761807
"Agencia_98",0.0112445981955063,0.0116303543387356,0.0233687216751727,0.00618826111905993,0.0282855957234315,1.77327503964389,373275.302476471,1717039.529,2344655.32,332649.3017,2615,2994,2337540,22059123.17,27.8275154004107
"Agencia_99",0.012767774102287,0.0183160613553281,0.0216949763370904,0.00163940586671178,0.0237831866648937,1.9903133374625,106507.927058824,554446.5629,866482.78,-44346.3922,1281,1400,890880,7522844.29,69.3552361396304
"Agencia_100",7.31033336921588e-05,0.000438620002152953,0.00657841652905545,0,0.00260532526945188,1.93387844856108,20520.2,259396.547,411879.58,-567063.1456,915,936,630650.39,3911972.19,21.0266940451745
